SECTION 1: EXPERT ROSTER,,,,,,
Expert Name,Expertise Category,Strength 1,Strength 2,Strength 3,Availability (Y/N),Max Pods Per Event,Notes
,Scaling operations ($2M to $10M),,,,Y,2,
,Scaling operations ($10M to $50M),,,,Y,2,
,Scaling operations ($50M+),,,,Y,2,
,Fundraising / capital strategy,,,,Y,2,
,Exit planning / M&A,,,,Y,2,
,Sales system buildout,,,,Y,2,
,Marketing / brand positioning,,,,Y,2,
,Hiring / team building,,,,Y,2,
,Legal / IP / contracts,,,,Y,2,
,Tech / product development,,,,Y,2,
,Mindset / founder burnout,,,,Y,2,
,Financial modeling / CFO-level strategy,,,,Y,2,
,,,,,,,,
,,,,,,,,
SECTION 2: FOUNDER INTAKE,,,,,,,,,
Founder Name,Company,Revenue Range,Top Challenge,Secondary Challenge,Matched Expert,Pod Number,Arrival Status,Concierge Notes
,,,$2M-$5M,,,,Not Arrived,
,,,$5M-$10M,,,,Not Arrived,
,,,$10M-$25M,,,,Not Arrived,
,,,$25M-$50M,,,,Not Arrived,
,,,$50M-$100M,,,,Not Arrived,
,,,$100M-$200M,,,,Not Arrived,
,,,$200M+,,,,Not Arrived,
,,,,,,,,
,,,,,,,,
SECTION 3: POD ASSIGNMENTS,,,,,,,,
Pod Number,Expert Assigned,Founder 1,Founder 2,Founder 3,Founder 4,Challenge Theme,Room/Location,Time Slot
Pod 1,,,,,,,,
Pod 2,,,,,,,,
Pod 3,,,,,,,,
Pod 4,,,,,,,,
Pod 5,,,,,,,,
Pod 6,,,,,,,,
Pod 7,,,,,,,,
Pod 8,,,,,,,,
Pod 9,,,,,,,,
Pod 10,,,,,,,,
Pod 11,,,,,,,,
Pod 12,,,,,,,,
